ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q8605,Simón Bolívar,1825-08-11,1826-01-01,,Q189779
2,Q189779,Antonio José de Sucre,1826-01-01,1828-04-18,Q8605,Q734654
3,Q734654,José María Pérez de Urdininea,1828-04-18,1828-08-02,Q189779,Q373873
4,Q373873,José Miguel de Velasco,1828-08-02,1828-12-18,Q734654,Q286657
5,Q286657,Pedro Blanco Soto,1828-12-26,1829-01-01,Q373873,Q373873
6,Q373873,José Miguel de Velasco,1829-01-01,1829-05-24,Q286657,Q467959
7,Q467959,Andrés de Santa Cruz,1829-05-24,1839-02-17,Q373873,Q373873
8,Q373873,José Miguel de Velasco,1839-02-22,1841-06-10,Q467959,Q886528
9,Q886528,Sebastián Ágreda,1841-06-10,1841-07-09,Q373873,Q886535
10,Q886535,Mariano Enrique Calvo,1841-07-09,1841-09-22,Q886528,Q734711
11,Q734711,José Ballivián,1841-09-27,1847-12-23,Q886535,Q887550
12,Q887550,Eusebio Guilarte Vera,1847-12-23,1848-01-02,Q734711,Q373873
13,Q373873,José Miguel de Velasco,1848-01-18,1848-12-06,Q887550,Q886509
14,Q886509,Manuel Isidoro Belzu,1848-12-06,1855-08-15,Q373873,Q886503
15,Q886503,Jorge Córdova,1855-08-15,1857-09-09,Q886509,Q888590
16,Q888590,José María Linares Lizarazu,1857-09-09,1861-01-14,Q886503,Q886251
17,Q886251,José María Achá Valiente,1861-05-04,1864-12-28,Q888590,Q734622
18,Q734622,Mariano Melgarejo,1864-12-28,1871-01-15,Q886251,Q399334
19,Q399334,Agustín Morales Hernández,1871-01-15,1872-11-27,Q734622,Q886958
20,Q886958,Tomás Frías Ametller,1872-11-28,1873-05-09,Q399334,Q364994
21,Q364994,Adolfo Ballivián Coll,1873-05-09,1874-01-31,Q886958,Q886958
22,Q886958,Tomás Frías Ametller,1874-01-31,1876-05-04,Q364994,Q492024
23,Q492024,Hilarión Daza,1876-05-04,1879-04-14,Q886958,Q16617486
24,Q16617486,Pedro José Domingo de Guerra,1879-04-14,1879-09-10,Q492024,Q3309380
25,Q3309380,Narciso Campero Leyes,1880-01-19,1884-09-04,Q16617486,Q3309369
26,Q3309369,Gregorio Pacheco,1884-09-04,1888-08-15,Q3309380,Q2562371
27,Q2562371,Aniceto Arce Ruiz,1888-08-15,1892-08-11,Q3309369,Q770323
28,Q770323,Mariano Baptista Caserta,1892-08-11,1896-08-19,Q2562371,Q2742696
29,Q2742696,Severo Fernández Alonso Caballero,1896-08-19,1899-04-12,Q770323,Q734690
30,Q734690,José Manuel Pando,1899-10-25,1904-08-14,Q2742696,Q3138065
31,Q3138065,Ismael Montes Gamboa,1904-08-14,1909-08-12,Q734690,Q3309340
32,Q3309340,Eliodoro Villazón Montaño,1909-08-12,1913-08-14,Q3138065,Q3138065
33,Q3138065,Ismael Montes Gamboa,1913-08-14,1917-08-15,Q3309340,Q3306291
34,Q3306291,José Gutiérrez Guerra,1917-08-15,1920-07-12,Q3138065,Q811928
35,Q811928,Bautista Saavedra Mallea,1921-01-28,1925-09-03,Q3306291,Q3309336
36,Q3309336,Felipe Segundo Guzmán,1925-09-03,1926-01-10,Q811928,Q886300
37,Q886300,Hernando Siles Reyes,1926-01-10,1930-05-28,Q3309336,Q374070
38,Q374070,Carlos Blanco Galindo,1930-06-28,1931-03-05,Q886300,Q738270
39,Q738270,Daniel Salamanca Urey,1931-03-05,1934-12-01,Q374070,Q2511035
40,Q2511035,José Luis Tejada Sorzano,1934-12-01,1936-05-16,Q738270,Q3292030
41,Q3292030,David Toro Ruilova,1936-05-22,1937-07-13,Q2511035,Q734606
42,Q734606,Germán Busch,1937-07-13,1939-08-23,Q3292030,Q3308442
43,Q3308442,Carlos Quintanilla Quiroga,1939-08-23,1940-04-15,Q734606,Q886523
44,Q886523,Enrique Peñaranda,1940-04-15,1943-12-20,Q3308442,Q886495
45,Q886495,Gualberto Villarroel López,1943-12-20,1946-07-21,Q886523,Q1396827
46,Q1396827,Néstor Guillén Olmos,1946-07-21,1946-08-17,Q886495,Q3046471
47,Q3046471,Tomás Monje Gutiérrez,1946-08-17,1947-03-10,Q1396827,Q195495
48,Q195495,Enrique Hertzog Garaizabal,1947-03-10,1949-10-22,Q3046471,Q3306306
49,Q3306306,Mamerto Urriolagoitia Harriague,1949-10-24,1951-05-16,Q195495,Q3309354
50,Q3309354,Hugo Ballivián Rojas,1951-05-16,1952-04-11,Q3306306,Q312055
51,Q312055,Víctor Paz Estenssoro,1952-04-15,1956-08-06,Q3309354,Q471313
52,Q471313,Hernán Siles Zuazo,1956-08-06,1960-08-06,Q312055,Q312055
53,Q312055,Víctor Paz Estenssoro,1960-08-06,1964-08-06,Q471313,Q312055
54,Q312055,Víctor Paz Estenssoro,1964-08-06,1964-11-04,Q312055,Q332074
55,Q332074,René Barrientos Ortuño,1964-11-05,1965-05-26,Q312055,Q1780127
56,Q1780127,Alfredo Ovando Candia,1965-05-26,1966-01-02,Q332074,Q1780127
57,Q1780127,Alfredo Ovando Candia,1966-01-02,1966-08-06,Q1780127,Q332074
58,Q332074,René Barrientos Ortuño,1966-08-06,1969-04-27,Q1780127,Q886540
59,Q886540,Luis Adolfo Siles Salinas,1969-04-27,1969-09-26,Q332074,Q1780127
60,Q1780127,Alfredo Ovando Candia,1969-09-26,1970-10-06,Q886540,Q195762
60,Q195762,Juan José Torres,1970-10-07,1971-08-21,Q1780127,Q269039
62,Q269039,Hugo Banzer Suárez,1971-08-22,1978-07-21,Q195762,Q2566177
63,Q2566177,Juan Pereda Asbún,1978-07-21,1978-11-24,Q269039,Q886514
64,Q886514,David Padilla Arancibia,1978-11-24,1979-08-08,Q2566177,Q80924
65,Q80924,Wálter Guevara Arze,1979-08-08,1979-11-01,Q886514,Q886490
66,Q886490,Alberto Natusch Busch,1979-11-01,1979-11-16,Q80924,Q466098
67,Q466098,Lidia Gueiler Tejada,1979-11-16,1980-07-17,Q886490,Q467929
68,Q467929,Luis García Meza Tejada,1980-07-17,1981-08-04,Q466098,Q886293
69,Q886293,Celso Torrelio Villa,1981-09-04,1982-07-21,Q467929,Q734593
70,Q734593,Guido Vildoso Calderón,1982-07-21,1982-10-10,Q886293,Q471313
71,Q471313,Hernán Siles Zuazo,1982-10-10,1985-08-06,Q734593,Q312055
72,Q312055,Víctor Paz Estenssoro,1985-08-06,1989-08-06,Q471313,Q555207
73,Q555207,Jaime Paz Zamora,1989-08-06,1993-08-06,Q312055,Q379645
74,Q379645,Gonzalo Sánchez de Lozada,1993-08-06,1997-08-06,Q555207,Q269039
75,Q269039,Hugo Banzer Suárez,1997-08-06,2001-08-07,Q379645,Q468805
76,Q468805,Jorge Quiroga Ramírez,2001-08-07,2002-08-06,Q269039,Q379645
77,Q379645,Gonzalo Sánchez de Lozada,2002-08-06,2003-10-17,Q468805,Q312668
78,Q312668,Carlos Mesa,2003-10-17,2005-06-06,Q379645,Q312761
79,Q312761,Eduardo Rodríguez,2005-06-09,2006-01-22,Q312668,Q42410
80,Q42410,Evo Morales,2006-01-22,2010-01-21,Q312761,Q42410
80,Q42410,Evo Morales,2010-01-21,2015-01-22,Q42410,Q42410
80,Q42410,Evo Morales,2015-01-22,2019-11-10,Q42410,Q16581287
0,Q16581287,Jeanine Áñez,2019-11-12,"",Q42410,
